userName,content,score,at
Venn V1,"Ok dan mantap,..sayang mau cek mutasi di periode yg agak lama tdk bisa...",5,2022-01-12 10:56:32
Sehat Sigiro,Good,5,2022-01-10 10:16:15
ade pajar pirdianto,Luar biasa,5,2022-01-10 08:57:34
Lilik Smq,Aplikasinya bagus sekali,5,2022-01-09 17:37:09
ilham yahya,selalu mengutamakan kenyamanan,5,2022-01-07 21:12:57
Nor Sri'ah,Saya suka dengan aplikasi ini...,5,2022-01-07 20:30:49
Kevinsius Desvriwanto,Aplikasi sangat baik membantu sekali,5,2022-01-07 15:02:25
Hendri Handayani,Mantap,5,2022-01-07 08:09:33
Suparjo Parjo,Kenapa saat memasukan no rek pada saat mendaftar tidak bisa. Tiga digit no rek tidak bisa masuk.,5,2022-01-07 05:54:59
Cicie Cicie,Cukup,3,2022-01-06 16:27:29
Januari 07,Sangat berguna,5,2022-01-05 16:20:29
#ANTON 86#,Sangat membantu,5,2022-01-04 20:18:51
Yully Setiawan,Bagus s3kali buat kegiatan cashless,5,2022-01-04 18:52:16
Wann Channel909,Sangat bermanfa'at dengan adanya aplikasi ini👍👍👍,5,2022-01-03 22:20:42
Elora Channel,Mantap sudah aplikasinya👍,5,2022-01-03 22:17:54
agus gun,Fungsi,5,2022-01-03 19:37:58
bahrudin rudin,Mantap,5,2022-01-03 19:19:18
Rizma Asshifa,Sangat mmbantu di kala ATM bermasalah.,5,2022-01-03 19:04:20
Patra Pramadi,"Betang Mobile Bank Kalteng memang terbaik, sudah memiliki fitur yang memadai untuk transaksi perbankan. Maju Terus Bank Kalteng",5,2022-01-03 18:33:58
Diansoeko Prastiyo,Bagus,5,2022-01-03 17:24:08
hasan basri,Transaksi lebih mudah,5,2022-01-03 10:59:12
Bank Kalteng Cabang Nabul,Semakin memudahkan,5,2022-01-03 09:14:51
borneogreen,Coba dulu,5,2022-01-02 20:32:02
martiani 1973,Puas dengan pelayanan melalui BT,4,2022-01-02 19:15:41
iba fawzi,Sangat bagus dan membantu,5,2022-01-02 18:37:30
Melia Devianty,Bank kalteng terus maju menjadi luar biasa..mobile banking sangat membantu dlm keseharian tanpa harus ke bank,5,2022-01-02 18:17:32
Dodi Oktoriawan,"Semakin lengkap, satu aplikasi mencukupi semua kebutuhan transaksi",5,2022-01-02 18:16:35
Lilo Nugroz,So far so good,5,2022-01-02 17:46:11
Saiho Abusalman,"Terimakasih Betang Mobile,.. Bank Kalteng.. pelayanan nya baik dan memuaskan.smoga sukses selalu...",5,2022-01-02 07:48:55
Sobariyan Family,Mantap akses nya cepat keren suka,5,2022-01-02 07:16:47
Fathansah,"Lancar selalu transaksinya, semoga lebih baik lg kedepannya",5,2022-01-02 06:50:26
makmun juhri,Bagus,5,2022-01-02 05:34:23
Esdi Pangganti,Mantap. Lanjutkan,5,2022-01-02 05:04:36
Zhanto CB Hanau,mempermudah nasabah,5,2022-01-01 18:01:03
Rikho Karunia,Memuaskan... Sungguh sangat memudahkan dalam transaksi,5,2022-01-01 17:48:19
Yuni Herniasihati,Semua berjalan dengan mudah,5,2022-01-01 17:13:16
Jev HadrenG,Mempermudah dalam bertransaksi.,5,2022-01-01 16:56:43
mas budi,Mantap,5,2022-01-01 16:45:42
Darmawati Amd. Keb,good,5,2022-01-01 16:12:09
Achmad Djunaidi,Fitur sangat bermanfaat,5,2022-01-01 15:51:55
anwar ardiansyah,Wow,5,2022-01-01 13:16:28
AHMAD SYAFI'I,Aplikasi nya bagus,4,2022-01-01 13:00:22
pariati Pari,Sejak pakai aplikasi Betang mobil transaksi semakin mudah,3,2022-01-01 12:54:47
Alwaan Gaming,Ok,5,2022-01-01 12:38:34
Anita Soraya,Mantap,5,2022-01-01 12:35:07
Mulyono Krembung,tingkatkan pelayanannya,2,2022-01-01 12:28:46
eka made,Memuaskan,5,2022-01-01 11:33:04
fatih dzaky,Terima kasih BPD Apliksi ini sangat membantu sekali 😎👍🏻👍🏻👍🏻,5,2022-01-01 11:30:17
Budi Yono,"Sangat bagus dan membantu,kalau bisa fiturnya dibuat lebih menarik dan kekikian",5,2022-01-01 11:16:50
Fauziah Bestiani,Terbantu dengan ada'y betang mobile jadi ga perlu bolak balik atm untuk transaksi..,5,2022-01-01 10:47:26
Reko Novi,Terimakasih,5,2022-01-01 10:26:53
wim benung,Bank Kalteng keren 👍,5,2022-01-01 10:05:37
Retty Jully,Keren fitur nya,5,2022-01-01 09:13:33
Risdiantoro,sangat membantu pembelian paket,5,2022-01-01 09:00:09
Muhammad Tajudin Nor,Sangat membantu,5,2022-01-01 08:56:21
Duwi Laksito,Mantap sangat membantu,5,2022-01-01 08:44:56
Andika Lf,"Susah dibuka selalu gangguan koneksi terus,aplikasi yg lain enak aja.",5,2022-01-01 08:41:01
Wawan Satriaku,"Apapun itu, tetap bangga dgn bank daerah sendiri.. Terus berinovasi BPD Kalteng ku...",5,2022-01-01 08:40:35
Darmini Idur,Baik sekali,5,2022-01-01 07:56:27
dardiansyah mursalin,Bagus,5,2022-01-01 07:43:45
Indra 162,Ok,5,2022-01-01 07:19:12
nova sari bulan,Cek mutasi masuk belum bisa,3,2022-01-01 07:18:35
adi murdani,👍👍,4,2022-01-01 07:02:03
Mathias Sera,Baik,5,2022-01-01 07:00:08
miswandi kao,Terima kasih.,5,2022-01-01 06:38:11
Samuel BPBD,Mantap,4,2022-01-01 06:32:10
Taufan Ardiansyah,Semoga aplikasi lebih simpel lg dlm penggunaannya,3,2022-01-01 06:31:55
Eda Ondol,Sangat membantu,5,2022-01-01 05:51:23
NURUL FATRA,"Jadi bisa melakukan berbagai transaksi dr rmh, senang dg aplikasi ini .. sangat membantu 🥰 Biar laachhhh bintang yang bicara .. 🌟🌟🌟🌟🌟",5,2022-01-01 05:32:18
Arif Arif,Mantappppzzzz....,5,2022-01-01 05:31:53
kh16un kh16un,Mudah dan lancar,5,2022-01-01 05:03:39
Toto Rianto,"Aplikasi,y bagus...berjalan baik walau terkadang bisa lengket..tapi membantu",4,2022-01-01 05:00:17
Yayan Yayan,Nice...,5,2022-01-01 01:04:05
La Rizpau,Mantap,5,2022-01-01 00:10:27
musrikh,Pelayanan yang terbaik,5,2021-12-31 23:57:24
Mardani Anggen Gani,"Mantap, tingkatkan terus ke arah yang lebih baik",4,2021-12-28 00:16:11
Diana Dewar,Good 😀👍,5,2021-12-13 09:58:28
akhmad rifa'i,"ketika mau login,selalu gangguan koneksi ,ini kenapa maksud nya. Buka yang lain bisa semua,aplikasi ini sendiri yg gak mau dibuka!!!",1,2021-12-11 09:23:20
Ian Leon,Aplikasi tolol! Register suruh masukin nomer rekening yang 16 digit no rekening ga bisa. Yang buat bego!!,1,2021-12-09 12:12:59
Budi Suyono,Bank KALTENG 👍👍👍,5,2021-12-07 07:31:37
Mama Naziha,Aman dan nyaman.☺️🙏,5,2021-12-03 20:52:11
Ahmad Yani,Ok,5,2021-12-02 15:59:42
Angelia P,Mantap 👍,5,2021-12-02 15:31:42
Gusti Bayu,Terimakasih bank kalteng 🙏 ....segala urusan banking menjadi mudah 😉,5,2021-12-02 15:10:18
lihai banar,"secara fungsi sangat membantu sekali aplikasi ini.. tapi waktu registrasi dan daftar aduhhhh ribet bgt.. beberapa orang mungkin skali klik langsung bisa d gunakan,, tpi saya dan teman saya yg lain mesti harus ke bank nya langsung.. bayangkan klo jarak nya jauh..",3,2021-12-02 11:37:39
Bang Jeck,Min Tambahkn di menu topup money untuk shopiee pay🙏👍,5,2021-12-02 04:23:04
Hi uji,Sangat bermanfaat,5,2021-11-28 16:56:05
Puja Gumas,👍,4,2021-11-28 09:35:45
SDN 1 PAREBOK,Jos,5,2021-11-24 06:58:57
Franata Manan,👍👍👍👍👍,5,2021-11-22 21:40:05
